Year,state,State ANSI,Value,average_temp
1950.0,Alabama,1.0,21.5,63.425000000000004
1950.0,Arizona,4.0,15.0,60.166666666666664
1950.0,Arkansas,5.0,23.5,60.050000000000004
1950.0,California,6.0,43.0,57.84166666666667
1950.0,Colorado,8.0,24.5,45.041666666666664
1950.0,Connecticut,9.0,47.0,47.925000000000004
1950.0,Delaware,10.0,52.0,54.23333333333333
1950.0,Florida,12.0,14.0,70.575
1950.0,Georgia,13.0,16.5,63.625
1950.0,Idaho,16.0,53.5,41.99166666666667
1950.0,Illinois,17.0,51.0,50.35833333333333
1950.0,Indiana,18.0,48.5,50.449999999999996
1950.0,Iowa,19.0,48.5,45.19166666666667
1950.0,Kansas,20.0,35.0,53.21666666666667
1950.0,Kentucky,21.0,37.0,54.9
1950.0,Louisiana,22.0,20.0,67.06666666666666
1950.0,Maine,23.0,34.0,40.31666666666667
1950.0,Maryland,24.0,48.0,53.69166666666666
1950.0,Massachusetts,25.0,47.0,47.15
1950.0,Michigan,26.0,39.0,42.13333333333333
1950.0,Minnesota,27.0,39.5,36.69166666666667
1950.0,Mississippi,28.0,23.5,64.05833333333334
1950.0,Missouri,29.0,44.0,53.15833333333333
1950.0,Montana,30.0,25.0,37.791666666666664
1950.0,Nebraska,31.0,36.0,46.291666666666664
1950.0,New Hampshire,33.0,48.0,42.74166666666667
1950.0,New Jersey,34.0,54.0,51.25833333333333
1950.0,New Mexico,35.0,16.5,54.0
1950.0,New York,36.0,45.0,44.333333333333336
1950.0,North Carolina,37.0,33.0,59.074999999999996
1950.0,North Dakota,38.0,22.0,34.84166666666666
1950.0,Ohio,39.0,52.0,49.78333333333333
1950.0,Oklahoma,40.0,23.5,59.06666666666666
1950.0,Oregon,41.0,44.0,45.949999999999996
1950.0,Pennsylvania,42.0,46.5,47.708333333333336
1950.0,Rhode Island,44.0,43.0,48.708333333333336
1950.0,South Carolina,45.0,21.5,62.81666666666666
1950.0,South Dakota,46.0,28.0,40.824999999999996
1950.0,Tennessee,47.0,32.5,57.44166666666666
1950.0,Texas,48.0,20.0,65.41666666666667
1950.0,Utah,49.0,50.0,47.583333333333336
1950.0,Vermont,50.0,48.0,41.68333333333333
1950.0,Virginia,51.0,46.0,55.03333333333333
1950.0,Washington,53.0,60.0,44.11666666666667
1950.0,West Virginia,54.0,37.0,51.68333333333334
1950.0,Wisconsin,55.0,48.0,39.824999999999996
1950.0,Wyoming,56.0,19.0,39.74166666666667
1951.0,Alabama,1.0,19.0,63.4
1951.0,Arizona,4.0,10.5,59.15833333333333
1951.0,Arkansas,5.0,23.5,59.86666666666667
1951.0,California,6.0,47.0,57.53333333333333
1951.0,Colorado,8.0,27.5,43.75833333333333
1951.0,Connecticut,9.0,48.0,48.916666666666664
1951.0,Delaware,10.0,47.0,54.40833333333333
1951.0,Florida,12.0,17.5,70.00833333333334
1951.0,Georgia,13.0,17.0,63.34166666666667
1951.0,Idaho,16.0,55.5,41.775
1951.0,Illinois,17.0,55.0,49.63333333333333
1951.0,Indiana,18.0,53.0,50.01666666666666
1951.0,Iowa,19.0,43.5,44.24166666666667
1951.0,Kansas,20.0,24.0,52.14166666666667
1951.0,Kentucky,21.0,37.5,54.666666666666664
1951.0,Louisiana,22.0,22.0,66.69166666666666
1951.0,Maine,23.0,36.0,41.38333333333333
1951.0,Maryland,24.0,47.0,53.88333333333333
1951.0,Massachusetts,25.0,54.0,47.99166666666667
1951.0,Michigan,26.0,42.0,42.56666666666667
1951.0,Minnesota,27.0,40.5,37.05833333333333
1951.0,Mississippi,28.0,21.5,63.98333333333333
1951.0,Missouri,29.0,34.0,52.60833333333333
1951.0,Montana,30.0,22.0,37.958333333333336
1951.0,Nebraska,31.0,28.0,45.800000000000004
1951.0,New Hampshire,33.0,43.0,43.275
1951.0,New Jersey,34.0,52.5,51.94166666666666
1951.0,New Mexico,35.0,18.0,53.125
1951.0,New York,36.0,47.0,44.875
1951.0,North Carolina,37.0,31.0,58.541666666666664
1951.0,North Dakota,38.0,21.5,35.80833333333333
1951.0,Ohio,39.0,48.0,49.78333333333333
1951.0,Oklahoma,40.0,21.5,59.1
1951.0,Oregon,41.0,50.0,46.541666666666664
1951.0,Pennsylvania,42.0,46.0,48.11666666666667
1951.0,Rhode Island,44.0,41.0,49.96666666666667
1951.0,South Carolina,45.0,20.0,62.30833333333334
1951.0,South Dakota,46.0,25.0,41.208333333333336
1951.0,Tennessee,47.0,30.0,57.291666666666664
1951.0,Texas,48.0,18.5,65.175
1951.0,Utah,49.0,41.0,47.19166666666667
1951.0,Vermont,50.0,47.0,42.225
1951.0,Virginia,51.0,43.0,54.78333333333333
1951.0,Washington,53.0,68.0,45.775
1951.0,West Virginia,54.0,39.0,51.46666666666667
1951.0,Wisconsin,55.0,50.0,39.65
1951.0,Wyoming,56.0,21.0,39.09166666666667
1952.0,Alabama,1.0,11.0,63.55833333333334
1952.0,Arizona,4.0,12.5,58.81666666666666
1952.0,Arkansas,5.0,15.0,61.050000000000004
1952.0,California,6.0,48.0,56.69166666666667
1952.0,Colorado,8.0,26.0,44.224999999999994
1952.0,Connecticut,9.0,44.0,49.31666666666666
1952.0,Delaware,10.0,49.0,55.06666666666666
1952.0,Florida,12.0,15.5,70.52499999999999
1952.0,Georgia,13.0,13.0,64.05
1952.0,Idaho,16.0,58.0,41.59166666666667
1952.0,Illinois,17.0,58.0,52.44166666666666
1952.0,Indiana,18.0,50.0,52.35
1952.0,Iowa,19.0,62.5,47.541666666666664
1952.0,Kansas,20.0,22.5,54.78333333333333
1952.0,Kentucky,21.0,28.0,56.541666666666664
1952.0,Louisiana,22.0,19.0,66.5
1952.0,Maine,23.0,31.0,41.61666666666667
1952.0,Maryland,24.0,47.0,54.60833333333333
1952.0,Massachusetts,25.0,53.0,48.35
